Serial #,IMEI,SIM type,ICCID #,Batch,FW,Location,BT config,Form,Installed,Status,Comments
000011,13949004636844 ,BT,,PVT,,Shipped,,,,,
000012,13949004660778 ,BT,,PVT,,Shipped,,,,,
000013,13949004635499 ,BT,,PVT,,Shipped,,,,,
000014,13949004661875 ,BT,,PVT,,Shipped,,,,,
000015,13949004634757 ,BT,,PVT,,Shipped,,,,,
000016,13949004628205 ,BT,,PVT,,Shipped,,,,,
000017,13949004661453 ,BT,,PVT,,Shipped,,,,,
000018,13949004634856 ,BT,,PVT,,Shipped,,,,,
000019,13949004627215 ,BT,,PVT,,Shipped,,,,,
000020,13949004662287 ,BT,,PVT,,Shipped,,,,,
000021,13949004658905 ,BT,,PVT,,Shipped,,,,,
000022,13949004628221 ,BT,,PVT,,Shipped,,,,,
000023,13949004659440 ,BT,,PVT,,Shipped,,,,,
000024,13949004637339 ,BT,,PVT,,Shipped,,,,,
000025,13949004660760 ,BT,,PVT,,Shipped,,,,,
000026,13949004661909 ,BT,,PVT,,Shipped,,,,,
000027,13949004627132 ,BT,,PVT,,Shipped,,,,,
000028,13949004661917 ,BT,,PVT,,Shipped,,,,,
000029,13949004661180 ,BT,,PVT,,Shipped,,,,,
000030,13949004627199 ,BT,,PVT,,Shipped,,,,,
000031,13949004625979 ,BT,,PVT,,Shipped,,,,,
000032,13949004627165 ,BT,,PVT,,Shipped,,,,,
000033,13949004658913 ,BT,,PVT,,Shipped,,,,,
000034,13949004628643 ,BT,,PVT,,Shipped,,,,,
000035,13949004633353 ,BT,,PVT,,Shipped,,,,,
000036,13949004661883 ,BT,,PVT,,Shipped,,,,,
000037,13949004658939 ,BT,,PVT,,Shipped,,,,,
000038,13949004660497 ,BT,,PVT,,Shipped,,,,,
000039,13949004657790 ,BT,,PVT,,Shipped,,,,,
000040,13949004660794 ,BT,,PVT,,Shipped,,,,,
000041,13949004661339 ,BT,,PVT,,Shipped,,,,,
000042,13949004634781 ,BT,,PVT,,Shipped,,,,,
000043,13949004661156 ,BT,,PVT,,Shipped,,,,,
000044,13949004625490 ,BT,,PVT,,Shipped,,,,,
000045,13949004637479 ,BT,,PVT,,Shipped,,,,,
000046,13949004660513 ,BT,,PVT,,Shipped,,,,,
000047,13949004656941 ,BT,,PVT,,Shipped,,,,,
000048,13949004627173 ,BT,,PVT,,Shipped,,,,,
000049,13949004660786 ,BT,,PVT,,Shipped,,,,,
000050,13949004661503 ,BT,,PVT,,Shipped,,,,,
000051,13949004635911 ,BT,,PVT,,Shipped,,,,,
000052,,BT,,PVT,,Not shipped,,,,,
000053,13949004656834 ,BT,,PVT,,Shipped,,,,,
000054,13949004635861 ,BT,,PVT,,Shipped,,,,,
000055,13949004628775 ,BT,,PVT,,Shipped,,,,,
000056,,BT,,PVT,,Not shipped,,,,,
000057,13949004627249 ,BT,,PVT,,Shipped,,,,,
000058,13949004658996 ,BT,,PVT,,Shipped,,,,,
000059,13949004660463 ,BT,,PVT,,Shipped,,,,,
000060,13949004658889 ,BT,,PVT,,Shipped,,,,,
000061,13949004658863 ,BT,,PVT,,Shipped,,,,,
000062,,BT,,PVT,,Not shipped,,,,,
000063,13949004638709 ,BT,,PVT,,Shipped,,,,,
000064,13949004622554 ,BT,,PVT,,Shipped,,,,,
000065,13949004638394 ,BT,,PVT,,Shipped,,,,,
000066,13949004632397 ,BT,,PVT,,Shipped,,,,,
000067,13949004625938 ,BT,,PVT,,Shipped,,,,,
000068,13949004656651 ,BT,,PVT,,Shipped,,,,,
000069,13949004662188 ,BT,,PVT,,Shipped,,,,,
000070,13949004627322 ,BT,,PVT,,Shipped,,,,,
000071,13949004625581 ,BT,,PVT,,Shipped,,,,,
000072,13949004633114 ,BT,,PVT,,Shipped,,,,,
000073,13949004627348 ,BT,,PVT,,Shipped,,,,,
000074,13949004625482 ,BT,,PVT,,Shipped,,,,,
000075,13949004627363 ,BT,,PVT,,Shipped,,,,,
000076,13949004634682 ,BT,,PVT,,Shipped,,,,,
000077,13949004627280 ,BT,,PVT,,Shipped,,,,,
000078,,BT,,PVT,,Not shipped,,,,,
000079,13949004625599 ,BT,,PVT,,Shipped,,,,,
000080,13949004635515 ,BT,,PVT,,Shipped,,,,,
000081,13949004635507 ,BT,,PVT,,Shipped,,,,,
000082,13949004658988 ,BT,,PVT,,Shipped,,,,,
000083,13949004627181 ,BT,,PVT,,Shipped,,,,,
000084,13949004661891 ,BT,,PVT,,Shipped,,,,,
000085,13949004661347 ,BT,,PVT,,Shipped,,,,,
000086,13949004659689 ,BT,,PVT,,Shipped,,,,,
000087,13949004661834 ,BT,,PVT,,Shipped,,,,,
000088,13949004656909 ,BT,,PVT,,Shipped,,,,,
000089,13949004661859 ,BT,,PVT,,Shipped,,,,,
000090,13949004659630 ,BT,,PVT,,Shipped,,,,,
000091,13949004637420 ,BT,,PVT,,Shipped,,,,,
000092,13949004637438 ,BT,,PVT,,Shipped,,,,,
000093,13949004661792 ,BT,,PVT,,Shipped,,,,,
000094,13949004661925 ,BT,,PVT,,Shipped,,,,,
000095,13949004658921 ,BT,,PVT,,Shipped,,,,,
000096,13949004635465 ,BT,,PVT,,Shipped,,,,,
000097,13949004662196 ,BT,,PVT,,Shipped,,,,,
000098,13949004628460 ,BT,,PVT,,Shipped,,,,,
000099,13949004656735 ,BT,,PVT,,Shipped,,,,,
000100,13949004625508 ,BT,,PVT,,Shipped,,,,,
